Name,Link,Family,Thickness(%),x-Location_of_Max_Thk(%),Camber(%),Data_Sources,Cl_Max,Cl/Cd_Max,Cd@Cl=0.1,Cd@Cl=0.4,Cd@Cl=0.6
NACA66A618,"<a href=""http://www.bigfoil.com/index.php?airfoil=ca43e412-4784-4e2e-bd98-7b4ac68ff50b"" target=""_blank"">NACA66A618</a>",NACA 66-series,18.0,45.9,3.5,JF XF,1.71,215,0.008,0.004,0.005
NACA66A619,"<a href=""http://www.bigfoil.com/index.php?airfoil=cc738921-ee43-43be-b95e-071f01da9e56"" target=""_blank"">NACA66A619</a>",NACA 66-series,19.0,45.9,3.4,JF XF,1.76,213,0.008,0.005,0.005
NACA66A620,"<a href=""http://www.bigfoil.com/index.php?airfoil=0e37cafb-c52a-45ea-83f8-d6c51500f984"" target=""_blank"">NACA66A620</a>",NACA 66-series,20.0,45.9,3.4,JF XF,1.81,211,0.008,0.005,0.005
NACA66A709,"<a href=""http://www.bigfoil.com/index.php?airfoil=aea887f8-9462-4246-96a1-af840d252120"" target=""_blank"">NACA66A709</a>",NACA 66-series,9.0,45.8,4.5,JF XF,1.28,283,0.032,0.005,0.004
NACA66A710,"<a href=""http://www.bigfoil.com/index.php?airfoil=4fbd8c6d-af95-4356-8946-2aa3992b2393"" target=""_blank"">NACA66A710</a>",NACA 66-series,10.0,45.8,4.4,JF XF,1.34,270,0.006,0.006,0.005
NACA66A711,"<a href=""http://www.bigfoil.com/index.php?airfoil=76af7c88-fac6-4af5-a2f2-b8c85c35b587"" target=""_blank"">NACA66A711</a>",NACA 66-series,11.0,45.8,4.4,JF XF,1.40,277,0.007,0.006,0.005
NACA66A712,"<a href=""http://www.bigfoil.com/index.php?airfoil=10b198e9-5900-44dc-8390-e81ef2e37141"" target=""_blank"">NACA66A712</a>",NACA 66-series,12.0,45.8,4.4,JF XF,1.46,246,0.007,0.006,0.006
NACA66A713,"<a href=""http://www.bigfoil.com/index.php?airfoil=303d0fd1-666b-4298-9aba-ea0b87e8bc17"" target=""_blank"">NACA66A713</a>",NACA 66-series,13.0,45.8,4.3,JF XF,1.52,228,0.007,0.006,0.006
NACA66A714,"<a href=""http://www.bigfoil.com/index.php?airfoil=b1308553-161e-4139-bb0a-476841714683"" target=""_blank"">NACA66A714</a>",NACA 66-series,14.0,45.8,4.3,JF XF,1.58,227,0.007,0.006,0.006
NACA66A715,"<a href=""http://www.bigfoil.com/index.php?airfoil=cacbd8c6-a662-45eb-8b96-6e640b640f35"" target=""_blank"">NACA66A715</a>",NACA 66-series,15.0,45.9,4.2,JF XF,1.64,226,0.007,0.006,0.005
